id,s,ed,xd,entry,xp,exit_raw,share_factor,stop,qty_actual,actual_pnl,stop_pct,missing_stop,old_stop_missing,ret,why,src,stop_basis,actual_exit_date,actual_exit_price,tie,qty,deploy,cost,net
871,NIFTYBEES,2026-04-01,2026-05-12,259.91,265.16,265.16,1.0,246.9145,1500,-300.11,5.000000000000004,False,True,1.5098303258820334,touch,etf_tradebook,assumed 5pct because original unknown,2026-04-01,259.71,871,1923,499806.93000000005,1249.5173250000003,6296.71927499997
705,BUILDPRO,2026-04-15,2026-04-24,1119.62,1119.62,1119.62,1.0,1063.639,100,-4958.75,5.000000000000004,False,True,-0.49999999999998934,touch,tis,assumed 5pct because original unknown,2026-05-04,1070.03,705,446,499350.51999999996,1248.3763,-3745.1288999999692
709,FRACTAL,2026-04-15,2026-05-13,859.8,917.42,917.42,1.0,827.0,150,18258.05,3.8148406606187457,False,False,6.168050709467332,touch,canslim,recorded initial stop,2026-05-13,981.52,709,581,499543.8,1248.8595,29563.255400000024
715,RSL,2026-04-15,2026-05-18,130.35,130.5,130.5,1.0,117.28,1000,-845.47,10.026850786344454,False,False,-0.3855005753739871,touch,canslim,recorded initial stop,2026-05-27,129.5,715,3835,499892.25,1249.730625,-3176.818124999991
719,STAR,2026-04-15,2026-05-19,1004.88,1048.6,1048.6,1.0,954.65,100,13622.2,4.998606798821747,False,False,3.8290144096807532,touch,tis,recorded initial stop,2026-05-19,1141.11,719,497,499425.36,1248.5634,17874.50559999999
721,TDPOWERSYS,2026-04-15,2026-06-02,950.42,1206.18,1206.18,1.0,914.0,100,22867.0,3.8319900675490848,False,False,26.275657077923455,touch,tis,recorded initial stop,2026-06-01,1179.09,721,526,499920.92,1249.8023,130107.70430000008
729,GSPCROP,2026-04-15,2026-06-11,403.99,422.42,422.42,1.0,374.0,250,5689.8,7.42345107552167,False,False,4.039184138221241,touch,tis,recorded initial stop,2026-06-02,426.75,729,1237,499735.63,1249.339075,18935.903225000013
740,BELRISE,2026-04-15,2026-04-30,207.65,207.65,207.65,1.0,197.26749999999998,500,-35.84,5.000000000000016,False,True,-0.5000000000000004,touch,tis,assumed 5pct because original unknown,2026-04-30,207.57,740,2407,499813.55,1249.533875,-3748.601625000012
845,SMALLCAP,2026-04-15,2026-06-11,42.56,43.72,43.72,1.0,40.432,3000,15450.0,5.000000000000004,False,True,2.2119360902255414,touch,etf_tis,assumed 5pct because original unknown,2026-09-16,47.71,845,11748,499994.88,1249.9872,9809.579999999936
851,SILVERCASE,2026-04-15,2026-04-24,25.31,24.0445,24.0445,1.0,24.0445,10000,-25900.0,4.999999999999993,False,True,-5.474999999999996,touch,etf_tis,assumed 5pct because original unknown,2026-09-15,22.72,851,19755,499999.05,1249.997625,-28624.9456125
867,LENSKART,2026-04-15,2026-04-20,550.99,523.4404999999999,523.4404999999999,1.0,523.4404999999999,200,-4407.8,5.000000000000016,False,True,-5.475000000000008,touch,tradebook,assumed 5pct because original unknown,2026-04-20,528.95,867,907,499747.93,1249.369825,-28610.56899250004
733,NMDC,2026-04-22,2026-05-18,88.72,88.72,88.72,1.0,85.0,1627,362.68,4.192966636609552,False,False,-0.5000000000000004,touch,tis,recorded initial stop,2026-05-18,88.94,733,5635,499937.2,1249.843,-3749.5290000000205
723,GPIL,2026-04-27,2026-05-11,301.45,288.93,288.93,1.0,282.0,664,-12926.41,6.452147951567422,False,False,-4.632492950738099,touch,tis,recorded initial stop,2026-05-12,281.98,723,1658,499804.1,1249.51025,-24402.89995000001
725,SARDAEN,2026-04-27,2026-05-12,607.95,571.0,571.0,1.0,571.0,334,-7415.01,6.077802450859449,False,False,-6.547413438605155,touch,tis,recorded initial stop,2026-05-04,585.75,725,822,499734.9,1249.33725,-33969.047250000054
741,ADANIPOWER,2026-05-04,2026-05-11,226.28,219.13,219.13,1.0,219.13,442,-3311.94,3.1598020152024064,False,False,-3.644003005126395,touch,tis,recorded initial stop,2026-05-11,218.79,741,2209,499852.52,1249.6313,-19464.272150000026
750,BLISSGVS,2026-05-12,2026-07-02,277.55,527.1,527.1,1.0,265.55,917,-175.45,4.323545307151866,False,False,88.96216897856245,open@end,tis,recorded initial stop,2026-05-12,277.36,750,1801,499867.55000000005,1249.668875,443443.3456250001
766,KIRLOSENG,2026-05-13,2026-07-17,1609.88,2257.49,2257.49,1.0,1481.0,230,-11680.9,8.005565632221046,False,False,39.52608579521455,touch,manual,recorded initial stop,2026-05-15,1559.1,766,310,499062.80000000005,1247.6570000000002,196012.33349999995
767,ADANIPOWER,2026-05-14,2026-06-10,218.55,220.58,220.58,1.0,201.0,1500,-2248.63,8.030199039121488,False,False,0.424204987417065,touch,manual,recorded initial stop,2026-05-15,217.05,767,2287,499823.85000000003,1249.559625,870.7180749999904
768,JAYNECOIND,2026-05-14,2026-05-18,106.18,102.35,102.35,1.0,98.0,3000,-3863.01,7.703899039367124,False,False,-4.089046901488058,touch,manual,recorded initial stop,2026-05-14,104.89,768,4708,499895.44000000006,1249.7386000000001,-21690.69760000009
769,LLOYDSME,2026-05-14,2026-05-18,1771.92,1664.32,1664.32,1.0,1630.0,170,-2525.61,8.009390943157712,False,False,-6.54214637229672,touch,manual,recorded initial stop,2026-05-14,1757.07,769,282,499681.44,1249.2036,-33939.094800000035
771,BAJAJCON,2026-05-20,2026-07-14,539.86,592.15,592.15,1.0,516.0,434,10384.61,4.419664357426001,False,False,9.137415255807069,touch,manual,recorded initial stop,2026-06-24,563.78,771,926,499910.36,1249.7759,44429.1096
773,WELCORP,2026-05-21,2026-05-22,1348.81,1274.81,1274.81,1.0,1274.81,135,-1660.8,5.486317568819921,False,False,-5.958885980975815,touch,manual,recorded initial stop,2026-05-22,1273.0,773,370,499059.69999999995,1247.64925,-30986.04774999996
774,APARINDS,2026-05-21,2026-05-25,12883.0,12596.8,12596.8,1.0,12596.8,12,-3879.96,2.2215322518047143,False,False,-2.7104245905456903,touch,manual,recorded initial stop,2026-06-02,12559.67,774,38,489554.0,1223.885,-14492.877000000042
858,BHEL,2026-05-21,2026-06-04,413.96,393.26199999999994,393.26199999999994,1.0,393.26199999999994,476,-116.0,5.000000000000004,False,True,-5.475000000000019,touch,tradebook,assumed 5pct because original unknown,2026-05-29,413.71,858,1207,499649.72,1249.1243,-28604.946470000068
776,LLOYDSME,2026-05-25,2026-06-08,1754.3,1740.0,1740.0,1.0,1605.0,156,-2230.8,8.510517015333752,False,False,-1.3110642421478635,touch,manual,recorded initial stop,2026-06-08,1740.0,776,285,499975.5,1249.93875,-7804.93875
777,POCL,2026-05-25,2026-05-26,1541.99,1419.0,1419.0,1.0,1419.0,150,-18598.5,7.976056913468954,False,False,-8.436176628901615,touch,manual,recorded initial stop,2026-05-26,1418.0,777,324,499604.76,1249.0119,-43396.551900000006
778,VEDL,2026-05-26,2026-05-29,345.7,350.82,350.82,1.0,328.0,690,-69.0,5.120046282904244,False,False,0.9736476713913866,touch,manual,recorded initial stop,2026-06-01,345.6,778,1446,499882.2,1249.7055,3617.3859000000157
783,VEDL,2026-06-01,2026-06-02,346.79,336.45,336.45,1.0,340.0,690,-4816.51,1.9579572652037358,False,False,-3.466723377260028,touch,tis,recorded initial stop,2026-06-01,339.81,783,1441,499724.39,1249.310975,-18573.37322500006
787,PRECWIRE,2026-06-04,2026-06-05,445.5,412.1,412.1,1.0,412.1,299,-10282.61,7.49719416386082,False,False,-7.959708193041514,touch,tis,recorded initial stop,2026-06-05,411.11,787,1122,499851.0,1249.6275,-41036.30849999996
785,ADANIENSOL,2026-06-05,2026-06-11,1541.6,1464.5199999999998,1464.5199999999998,1.0,1464.5199999999998,87,5049.48,5.000000000000016,False,True,-5.475000000000008,touch,tis,assumed 5pct because original unknown,2026-08-12,1599.64,785,324,499478.39999999997,1248.696,-28595.13840000004
790,SANDHAR,2026-06-19,2026-06-24,719.61,684.0,684.0,1.0,684.0,281,-10503.78,4.948513778296581,False,False,-5.423771209405093,touch,tis,recorded initial stop,2026-06-24,682.23,790,694,499409.34,1248.5233500000002,-28335.34334999998
793,TALBROAUTO,2026-06-23,2026-07-23,379.2,394.26,394.26,1.0,361.2,555,8921.65,4.746835443037978,False,False,3.45166139240507,touch,tis,recorded initial stop,2026-08-31,395.28,793,1318,499785.6,1249.464,16001.442600000024
797,MARKSANS,2026-06-23,2026-06-25,268.31,255.31,255.31,1.0,255.31,846,-10875.15,4.84514181357385,False,False,-5.32091610450599,touch,tis,recorded initial stop,2026-06-25,255.45,797,1863,499861.53,1249.653825,-27846.866475000028
799,SENORES,2026-06-24,2026-06-25,1330.9,1285.0,1285.0,1.0,1285.0,230,-10812.81,3.448794049139692,False,False,-3.931550078893986,touch,tis,recorded initial stop,2026-06-24,1283.89,799,375,499087.50000000006,1247.7187500000002,-20869.59375000002
800,GALAPREC,2026-07-02,2026-07-08,1173.41,1173.41,1173.41,1.0,1085.4,115,-10118.7,7.500362192243115,False,False,-0.5000000000000004,touch,sideways,recorded initial stop,2026-07-29,1085.42,800,426,499872.66000000003,1249.6816500000002,-3749.044950000027
809,AEQUS,2026-07-03,2026-07-14,238.7,238.7,238.7,1.0,220.8,558,-10242.51,7.498952660242974,False,False,-0.5000000000000004,touch,sideways,recorded initial stop,2026-07-24,220.34,809,2094,499837.8,1249.5945,-3748.7835000000005
801,WELCORP,2026-07-07,2026-07-08,1545.48,1526.18,1526.18,1.0,1526.18,64,-286.72,1.2488029608924034,False,False,-1.7425589460879465,touch,orb,recorded initial stop,2026-07-07,1541.0,801,323,499190.04,1247.9750999999999,-9946.65580000002
802,AMAGI,2026-07-08,2026-07-20,556.7,556.7,556.7,1.0,514.9,240,15147.44,7.508532423208203,False,False,-0.5000000000000004,touch,sideways,recorded initial stop,2026-08-14,619.81,802,898,499916.60000000003,1249.7915,-3749.3745000000035
803,RPTECH,2026-07-09,2026-07-17,776.46,738.33,738.33,1.0,736.0,300,-12231.0,5.210828632511655,False,False,-5.3861950390232565,touch,tis,recorded initial stop,2026-07-17,735.69,803,643,499263.78,1248.15945,-28139.480399999986
804,LAURUSLABS,2026-07-10,2026-09-22,1534.3,2006.5,2006.5,1.0,1487.3,212,18507.58,3.063286189141623,False,False,30.122368506810915,open@end,strike,recorded initial stop,2026-07-27,1621.6,804,325,498647.5,1246.61875,148957.81875
805,RUBICON,2026-07-10,2026-09-16,1425.77,1740.93,1740.93,1.0,1382.0,250,9373.2,3.0699201133422616,False,False,21.494024281616262,touch,tis,recorded initial stop,2026-08-04,1463.27,805,350,499019.5,1247.54875,106011.82375000005
806,PSPPROJECT,2026-07-14,2026-07-17,1088.49,1052.0,1052.0,1.0,1052.0,250,-9298.6,3.352350503909085,False,False,-3.8355887513895404,touch,strike,recorded initial stop,2026-07-17,1051.29,806,459,499616.91000000003,1249.042275,-20412.292275
811,MARKSANS,2026-07-15,2026-07-17,275.18,266.0,266.0,1.0,266.0,1111,-10763.76,3.335998255687189,False,False,-3.8193182644087442,touch,tis,recorded initial stop,2026-07-17,265.49,811,1816,499726.88,1249.3172,-20335.477199999983
813,INDSWFTLAB,2026-07-20,2026-07-23,238.0,227.0,227.0,1.0,227.0,909,-10867.32,4.621848739495793,False,False,-5.09873949579831,touch,tis,recorded initial stop,2026-07-23,226.04,813,2100,499800.0,1249.5,-26732.99999999998
817,CUPID,2026-07-24,2026-09-08,213.84,273.12,273.12,1.0,204.84,1111,20155.99,4.208754208754206,False,False,27.083052749719407,touch,tis,recorded initial stop,2026-07-28,231.99,817,2338,499957.92,1249.8948,134153.9723999999
818,RPTECH,2026-07-27,2026-07-29,806.96,766.96,766.96,1.0,766.96,247,-10979.15,4.956875185882814,False,False,-5.432090809953404,touch,vcp,recorded initial stop,2026-07-29,762.51,818,619,499508.24000000005,1248.7706,-28382.511799999982
819,RRKABEL,2026-07-27,2026-09-02,2549.99,2731.92,2731.92,1.0,2422.99,78,13938.6,4.980411687888974,False,False,6.598865093588624,touch,vcp,recorded initial stop,2026-09-02,2728.69,819,196,499798.04,1249.4950999999999,31731.50330000007
823,NAVINFLUOR,2026-07-27,2026-07-28,7739.36,7515.36,7515.36,1.0,7515.36,25,-6028.0,2.8942961691922897,False,False,-3.3798246883463223,touch,tis,recorded initial stop,2026-07-28,7498.24,823,64,495319.04,1238.2975999999999,-17979.212799999987
828,VADILALIND,2026-07-28,2026-09-10,6865.19,7312.2,7312.2,1.0,6652.19,29,12613.26,3.1026089591111083,False,False,5.978698331728638,touch,tis,recorded initial stop,2026-07-29,7300.13,828,72,494293.68,1235.7342,28316.59380000004
814,AETHER,2026-07-30,2026-09-10,1513.18,1593.38,1593.38,1.0,1483.68,338,16652.5,1.9495367372024508,False,False,4.773596003119263,touch,tis,recorded initial stop,2026-08-06,1562.45,814,330,499349.4,1248.3735000000001,22588.54950000005
824,KTKBANK,2026-07-30,2026-09-15,287.81,319.38,319.38,1.0,278.91,696,26580.24,3.09231784858065,False,False,10.414196865987968,touch,tis,recorded initial stop,2026-09-15,326.0,824,1737,499925.97000000003,1249.8149250000001,50813.45977499998
829,ATHERENERG,2026-08-03,2026-09-22,1277.0,1543.8,1543.8,1.0,1232.0,244,64178.5,3.5238841033672696,False,False,20.288253719655437,open@end,tis,recorded initial stop,2026-09-16,1550.1,829,391,499307.0,1248.2675,100052.40349999996
830,UNIPARTS,2026-08-04,2026-09-16,752.0,831.01,831.01,1.0,722.0,366,-10519.85,3.9893617021276584,False,False,9.954115691489363,touch,tis,recorded initial stop,2026-08-04,720.3,830,664,499328.0,1248.32,48455.36680000002
