id,s,src,ed,xd,entry,exitp,qty,pnl,isl,new_stop
871,NIFTYBEES,etf_tradebook,2026-04-01,2026-04-01,259.91,259.71,1500,-300.11,,
872,NIFTYBEES,etf_tradebook,2026-04-02,2026-04-02,273.45,256.93,1302,-4622.57,,249.7
740,BELRISE,tis,2026-04-15,2026-04-30,207.65,207.57,500,-35.84,,189.52
867,LENSKART,tradebook,2026-04-15,2026-04-20,550.99,528.95,200,-4407.8,,477.26
709,FRACTAL,canslim,2026-04-15,2026-05-13,859.8,981.52,150,18258.05,827.0,759.5
719,STAR,tis,2026-04-15,2026-05-19,1004.88,1141.11,100,13622.2,954.65,937.86
705,BUILDPRO,tis,2026-04-15,2026-05-04,1119.62,1070.03,100,-4958.75,,1008.42
845,SMALLCAP,etf_tis,2026-04-15,2026-09-16,42.56,47.71,3000,15450.0,,39.21
729,GSPCROP,tis,2026-04-15,2026-06-02,403.99,426.75,250,5689.8,374.0,
878,RUBICON,tradebook,2026-04-15,2026-04-20,833.08,935.0,150,15288.05,,747.2
851,SILVERCASE,etf_tis,2026-04-15,2026-09-15,25.31,22.72,10000,-25900.0,,22.72
880,UTLSOLAR,tradebook,2026-04-15,2026-04-23,238.35,281.13,500,21388.64,,209.33
721,TDPOWERSYS,tis,2026-04-15,2026-06-01,950.42,1179.09,100,22867.0,914.0,809.48
715,RSL,canslim,2026-04-15,2026-05-27,130.35,129.5,1000,-845.47,117.28,
720,SYRMA,tis,2026-04-16,2026-05-18,926.15,990.47,110,7075.2,,827.61
876,QPOWER,tradebook,2026-04-16,2026-04-20,1126.21,1295.93,100,16971.85,,803.6
706,CEINSYS,canslim,2026-04-16,2026-05-04,1153.23,1060.03,90,-8387.95,1035.17,1012.54
707,CLEANMAX,canslim,2026-04-16,2026-05-22,967.07,1117.0,100,14993.45,967.0,
712,ICICIAMC,tis,2026-04-16,2026-05-20,3272.99,3048.9,40,-8963.4,3053.56,3067.6
862,GMDCLTD,tradebook,2026-04-16,2026-04-17,658.77,757.6,155,15319.05,,578.45
716,SAKAR,tis,2026-04-17,2026-05-06,633.14,610.23,477,-10924.55,613.89,482.36
722,TENNIND,tis,2026-04-17,2026-05-18,594.95,594.0,170,-161.05,549.23,534.35
717,SHRIPISTON,tis,2026-04-17,2026-04-29,3678.9,3455.0,84,-18807.2,3516.89,3430.98
713,NATCOPHARM,tis,2026-04-17,2026-05-29,1125.25,1055.41,90,-6285.2,1031.87,1048.6
711,GVT&D,canslim,2026-04-17,2026-05-04,4133.61,4429.51,25,7397.55,3886.02,3870.9
708,EMMVEE,tis,2026-04-17,2026-04-30,262.86,263.0,400,57.0,233.61,210.9
873,PFOCUS,tradebook,2026-04-17,2026-04-17,364.78,346.55,300,-5468.1,,305.86
879,SMSPHARMA,tradebook,2026-04-17,2026-04-24,431.72,397.25,230,-7927.2,,389.65
856,AEQUS,tradebook,2026-04-17,2026-04-21,170.78,201.85,600,18642.61,,117.63
714,RISHABH,tis,2026-04-17,2026-05-12,471.57,480.73,215,1969.2,,338.59
710,GMDCLTD,tis,2026-04-17,2026-05-11,763.6,658.4,150,-15779.99,717.81,578.45
874,PFOCUS,tradebook,2026-04-22,2026-04-24,332.74,319.45,300,-3987.3,,305.86
733,NMDC,tis,2026-04-22,2026-05-18,88.72,88.94,1627,362.68,85.0,84.13
731,LAURUSLABS,tis,2026-04-23,2026-05-08,1123.95,1236.36,174,19559.5,1072.0,1072.12
865,KINGFA,tradebook,2026-04-23,2026-04-27,4987.74,4899.76,80,-7038.0,,3877.66
854,ABSLAMC,tradebook,2026-04-24,2026-04-24,1097.17,1083.49,185,-2529.9,,990.83
861,GLENMARK,tradebook,2026-04-24,2026-04-24,2359.9,2297.0,84,-5283.69,,2160.7
857,AUBANK,tradebook,2026-04-24,2026-04-24,1059.76,1054.17,188,-1050.65,,929.14
877,RHETAN,tradebook,2026-04-24,2026-04-24,29.2,28.23,6896,-6694.97,,24.42
882,RHETAN,tradebook,2026-04-24,2026-04-24,28.3,28.21,6896,-638.02,,24.42
736,KIRLOSENG,tis,2026-04-27,2026-05-12,1680.45,1569.0,119,-13262.7,1570.0,1540.17
735,ATHERENERG,tis,2026-04-27,2026-05-04,946.0,900.65,211,-9568.45,900.0,847.99
728,SENORES,tis,2026-04-27,2026-05-04,919.27,885.12,217,-7409.3,869.0,852.99
727,ROSSTECH,tis,2026-04-27,2026-04-30,988.76,965.62,183,-4235.0,889.0,872.74
726,TATASTEEL,tis,2026-04-27,2026-05-29,213.41,212.89,934,-485.68,213.4,204.43
725,SARDAEN,tis,2026-04-27,2026-05-04,607.95,585.75,334,-7415.01,571.0,560.56
723,GPIL,tis,2026-04-27,2026-05-12,301.45,281.98,664,-12926.41,282.0,283.22
737,SGMART,tis,2026-04-28,2026-05-05,561.59,525.85,356,-12723.44,526.0,516.71
730,IMFA,tis,2026-04-28,2026-04-30,1525.36,1524.0,63,-86.0,1471.99,1448.44
732,NATIONALUM,tis,2026-04-28,2026-04-30,433.0,411.35,287,-6214.0,411.0,410.18
734,MCX,tis,2026-04-28,2026-05-29,2852.0,3167.3,70,22071.0,2740.0,2700.88
738,STEELCAS,tis,2026-04-28,2026-04-30,306.0,290.04,380,-6063.93,291.0,277.35
739,HFCL,tis,2026-04-30,2026-04-30,109.0,109.59,917,449.0,105.0,99.72
704,BELRISE,tis,2026-04-30,2026-05-12,211.16,218.36,500,3598.67,207.65,205.6
743,MACPOWER,tis,2026-05-04,2026-05-14,1200.0,1126.02,136,-10060.8,1110.0,1054.48
742,LINDEINDIA,tis,2026-05-04,2026-05-05,7561.0,7353.0,13,-2704.0,7354.08,7036.89
741,ADANIPOWER,tis,2026-05-04,2026-05-11,226.28,218.79,442,-3311.94,219.13,202.86
744,SUNFLAG,tis,2026-05-04,2026-06-01,307.4,363.13,651,36280.95,,276.38
859,BRITANNIA,tradebook,2026-05-05,2026-05-05,5823.0,5822.01,34,-33.5,,5528.18
860,CPPLUS,tradebook,2026-05-05,2026-05-05,2454.0,2456.4,81,194.39,,2193.53
864,JUNIORBEES,etf_tradebook,2026-05-05,2026-09-02,778.94,780.06,52,58.24,,732.06
881,APEX,tradebook,2026-05-07,2026-05-12,485.42,457.7,419,-11616.25,,446.0
745,HONASA,tis,2026-05-07,2026-07-23,360.87,423.08,601,37387.2,339.98,330.55
757,CGPOWER,orphan_gtt,2026-05-07,2026-07-03,856.84,896.7,292,11639.65,822.62,778.22
756,JAINREC,orphan_gtt,2026-05-07,2026-05-18,483.93,535.77,254,13167.8,465.0,440.07
755,SANSERA,orphan_gtt,2026-05-07,2026-05-11,2606.32,2476.0,74,-9643.68,2486.0,2377.48
754,APEX,orphan_gtt,2026-05-07,2026-05-07,478.0,477.08,419,-384.2,458.0,446.0
759,CHENNPETRO,tis,2026-05-08,2026-05-12,1099.48,1040.24,277,-16407.61,1059.48,1036.94
866,LAURUSLABS,tradebook,2026-05-08,2026-06-16,1229.1,1343.4,87,9944.1,,1058.4
746,ARFIN,tis,2026-05-08,2026-05-18,96.69,88.72,1357,-10822.0,89.0,90.16
750,BLISSGVS,tis,2026-05-12,2026-05-12,277.55,277.36,917,-175.45,265.55,259.7
766,KIRLOSENG,manual,2026-05-13,2026-05-15,1609.88,1559.1,230,-11680.9,1481.0,
769,LLOYDSME,manual,2026-05-14,2026-05-14,1771.92,1757.07,170,-2525.61,1630.0,1662.28
767,ADANIPOWER,manual,2026-05-14,2026-05-15,218.55,217.05,1500,-2248.63,201.0,
869,MACPOWER,tradebook,2026-05-14,2026-05-15,1124.67,1109.0,136,-2130.5,,1117.2
768,JAYNECOIND,manual,2026-05-14,2026-05-14,106.18,104.89,3000,-3863.01,98.0,92.61
855,ADANIPOWER,tradebook,2026-05-15,2026-06-10,218.96,222.67,1500,5567.42,,209.96
780,KIRLOSENG,tis,2026-05-15,2026-07-22,1618.0,2064.44,230,102681.7,,1540.17
770,GVT&D,manual,2026-05-18,2026-06-29,4363.46,4874.78,100,51132.0,4184.46,4146.48
863,JAINREC,tradebook,2026-05-18,2026-05-18,511.1,514.24,127,399.4,,527.04
771,BAJAJCON,manual,2026-05-20,2026-06-24,539.86,563.78,434,10384.61,516.0,491.32
858,BHEL,tradebook,2026-05-21,2026-05-29,413.96,413.71,476,-116.0,,378.38
773,WELCORP,manual,2026-05-21,2026-05-22,1348.81,1273.0,135,-1660.8,1274.81,1242.35
774,APARINDS,manual,2026-05-21,2026-06-02,12883.0,12559.67,12,-3879.96,12596.8,11626.72
775,WELCORP,manual,2026-05-22,2026-09-16,1348.81,2346.18,135,134644.95,1208.51,1242.35
776,LLOYDSME,manual,2026-05-25,2026-06-08,1754.3,1740.0,156,-2230.8,1605.0,1662.28
777,POCL,manual,2026-05-25,2026-05-26,1541.99,1418.0,150,-18598.5,1419.0,1393.85
778,VEDL,manual,2026-05-26,2026-06-01,345.7,345.6,690,-69.0,328.0,318.89
779,POCL,manual,2026-05-26,2026-05-27,1392.73,1370.0,140,-3181.7,1358.73,1393.85
772,BHEL,manual,2026-05-29,2026-06-01,417.25,407.35,476,-4712.4,396.29,398.17
783,VEDL,tis,2026-06-01,2026-06-01,346.79,339.81,690,-4816.51,340.0,325.51
787,PRECWIRE,tis,2026-06-04,2026-06-05,445.5,411.11,299,-10282.61,412.1,409.15
785,ADANIENSOL,tis,2026-06-05,2026-08-12,1541.6,1599.64,87,5049.48,,1416.1
790,SANDHAR,tis,2026-06-19,2026-06-24,719.61,682.23,281,-10503.78,684.0,669.34
