id,s,ed,xd,entry,xp,exit_raw,share_factor,stop,qty_actual,actual_pnl,stop_pct,missing_stop,old_stop_missing,ret,why,src,stop_basis,actual_exit_date,actual_exit_price,tie,qty,deploy,cost,net
871,NIFTYBEES,2026-04-01,2026-05-13,259.91,265.04,265.04,1.0,246.9145,1500,-300.11,5.000000000000004,False,True,1.463891347004731,close_stop,etf_tradebook,assumed 5pct because original unknown,2026-04-01,259.71,0.46855820995129116,1923,499806.93000000005,1249.5173250000003,6067.113074999999
878,RUBICON,2026-04-15,2026-09-22,833.08,1720.0,1720.0,1.0,791.426,150,15288.05,5.000000000000004,False,True,105.43045085706053,close_stop,tradebook,assumed 5pct because original unknown,2026-04-20,935.0,0.0820638530547062,600,499848.0,1249.6200000000001,525742.38
867,LENSKART,2026-04-15,2026-04-30,550.99,511.75,511.75,1.0,523.4404999999999,200,-4407.8,5.000000000000016,False,True,-7.586117715385033,close_stop,tradebook,assumed 5pct because original unknown,2026-04-20,528.95,0.09165406137293453,907,499747.93,1249.369825,-39160.836074999985
719,STAR,2026-04-15,2026-06-02,1004.88,1094.0,1094.0,1.0,954.65,100,13622.2,4.998606798821747,False,False,8.324377040044585,close_stop,tis,recorded initial stop,2026-05-19,1141.11,0.09930328709881964,497,499425.36,1248.5634,40325.48659999999
715,RSL,2026-04-15,2026-05-25,130.35,132.5,132.5,1.0,117.28,1000,-845.47,10.026850786344454,False,False,1.141158419639443,close_stop,canslim,recorded initial stop,2026-05-27,129.5,0.1968689984895272,3835,499892.25,1249.730625,4454.8318750000435
880,UTLSOLAR,2026-04-15,2026-05-14,238.35,262.05,262.05,1.0,226.43249999999998,500,21388.64,5.000000000000004,False,True,9.39364380113279,close_stop,tradebook,assumed 5pct because original unknown,2026-04-23,281.13,0.2100179068952932,2097,499819.95,1249.5498750000002,45701.755875000046
740,BELRISE,2026-04-15,2026-05-13,207.65,207.0,207.0,1.0,197.26749999999998,500,-35.84,5.000000000000016,False,True,-0.8114615940284176,close_stop,tis,assumed 5pct because original unknown,2026-04-30,207.57,0.37034861283349874,2407,499813.55,1249.533875,-5305.328875000006
729,GSPCROP,2026-04-15,2026-06-25,403.99,422.2,422.2,1.0,374.0,250,5689.8,7.42345107552167,False,False,3.984999628703667,close_stop,tis,recorded initial stop,2026-06-02,426.75,0.3851538079412573,1237,499735.63,1249.339075,18665.12392499999
721,TDPOWERSYS,2026-04-15,2026-06-09,950.42,1234.9,1234.9,1.0,914.0,100,22867.0,3.8319900675490848,False,False,29.28236989962334,close_stop,tis,recorded initial stop,2026-06-01,1179.09,0.49384165441784855,526,499920.92,1249.8023,145138.89070000002
845,SMALLCAP,2026-04-15,2026-06-12,42.56,44.0,44.0,1.0,40.432,3000,15450.0,5.000000000000004,False,True,2.866541353383445,close_stop,etf_tis,assumed 5pct because original unknown,2026-09-16,47.71,0.5322785759497517,11748,499994.88,1249.9872,13082.572799999987
709,FRACTAL,2026-04-15,2026-05-19,859.8,928.0,928.0,1.0,827.0,150,18258.05,3.8148406606187457,False,False,7.3924168411258595,close_stop,canslim,recorded initial stop,2026-05-13,981.52,0.6362118329446164,581,499543.8,1248.8595,35679.50050000004
739,HFCL,2026-04-30,2026-07-24,109.0,202.0,202.0,1.0,105.0,917,449.0,3.669724770642202,False,False,84.39449541284405,close_stop,tis,recorded initial stop,2026-04-30,109.59,0.2995579059288346,4587,499983.0,1249.9575,420708.17250000004
766,KIRLOSENG,2026-05-13,2026-07-20,1609.88,2255.7,2255.7,1.0,1481.0,230,-11680.9,8.005565632221046,False,False,39.4154533257137,close_stop,manual,recorded initial stop,2026-05-15,1559.1,0.5879796810655421,310,499062.80000000005,1247.6570000000002,195460.20799999993
869,MACPOWER,2026-05-14,2026-05-18,1124.67,1095.5,1095.5,1.0,1068.4365,136,-2130.5,5.000000000000004,False,True,-3.0806814443347874,close_stop,tradebook,assumed 5pct because original unknown,2026-05-15,1109.0,0.45822933459409587,444,499353.48000000004,1248.3837,-16631.873700000015
769,LLOYDSME,2026-05-14,2026-05-20,1771.92,1665.0,1665.0,1.0,1630.0,170,-2525.61,8.009390943157712,False,False,-6.503961804144664,close_stop,manual,recorded initial stop,2026-05-14,1757.07,0.46447687651713465,282,499681.44,1249.2036,-33748.29360000003
863,JAINREC,2026-05-18,2026-05-19,511.1,452.95,452.95,1.0,485.545,127,399.4,5.000000000000004,False,True,-11.820534142046569,close_stop,tradebook,assumed 5pct because original unknown,2026-05-18,514.24,0.28791465335515976,978,499855.80000000005,1249.6395000000002,-60335.26500000002
771,BAJAJCON,2026-05-20,2026-07-15,539.86,593.5,593.5,1.0,516.0,434,10384.61,4.419664357426001,False,False,9.38622976327197,close_stop,manual,recorded initial stop,2026-06-24,563.78,0.3029115849739955,926,499910.36,1249.7759,45672.959100000015
858,BHEL,2026-05-21,2026-06-05,413.96,390.0,390.0,1.0,393.26199999999994,476,-116.0,5.000000000000004,False,True,-6.259058846265331,close_stop,tradebook,assumed 5pct because original unknown,2026-05-29,413.71,0.06615978053787841,1207,499649.72,1249.1243,-32522.494299999962
774,APARINDS,2026-05-21,2026-05-26,12883.0,12480.0,12480.0,1.0,12596.8,12,-3879.96,2.2215322518047143,False,False,-3.61251261352169,close_stop,manual,recorded initial stop,2026-06-02,12559.67,0.7792292719055247,38,489554.0,1223.885,-18909.084999999985
776,LLOYDSME,2026-05-25,2026-06-11,1754.3,1700.0,1700.0,1.0,1605.0,156,-2230.8,8.510517015333752,False,False,-3.579775408995034,close_stop,manual,recorded initial stop,2026-06-08,1740.0,0.15808719758710932,285,499975.5,1249.93875,-19147.938749999987
779,POCL,2026-05-26,2026-05-27,1392.73,1308.3115,1308.3115,1.0,1358.73,140,-3181.7,2.44124848319488,False,False,-6.531061835388052,disaster,manual,recorded initial stop,2026-05-27,1370.0,0.019316821544517415,359,499990.07,1249.975175,-33904.635817499984
783,VEDL,2026-06-01,2026-06-02,346.79,336.45,336.45,1.0,340.0,690,-4816.51,1.9579572652037358,False,False,-3.466723377260028,close_stop,tis,recorded initial stop,2026-06-01,339.81,0.17569771843487503,1441,499724.39,1249.310975,-18573.37322500006
787,PRECWIRE,2026-06-04,2026-06-08,445.5,391.495,391.495,1.0,412.1,299,-10282.61,7.49719416386082,False,False,-12.56172278338945,disaster,tis,recorded initial stop,2026-06-05,411.11,0.58200155179774,1122,499851.0,1249.6275,-64039.52444999998
785,ADANIENSOL,2026-06-05,2026-08-07,1541.6,1620.0,1620.0,1.0,1464.5199999999998,87,5049.48,5.000000000000016,False,True,4.5601971977166755,close_stop,tis,assumed 5pct because original unknown,2026-08-12,1599.64,0.14616838716729608,324,499478.39999999997,1248.696,21528.50400000006
790,SANDHAR,2026-06-19,2026-06-25,719.61,676.3,676.3,1.0,684.0,281,-10503.78,4.948513778296581,False,False,-6.488445130000975,close_stop,tis,recorded initial stop,2026-06-24,682.23,0.6389457830083196,694,499409.34,1248.5233500000002,-33652.424350000016
793,TALBROAUTO,2026-06-23,2026-07-27,379.2,399.0,399.0,1.0,361.2,555,8921.65,4.746835443037978,False,False,4.695411392405058,close_stop,tis,recorded initial stop,2026-08-31,395.28,0.06726804617244064,1318,499785.6,1249.464,22217.52600000001
797,MARKSANS,2026-06-23,2026-07-22,268.31,245.0,245.0,1.0,255.31,846,-10875.15,4.84514181357385,False,False,-9.144273415079574,disaster,tis,recorded initial stop,2026-06-25,255.45,0.9479147745356389,1863,499861.53,1249.653825,-46958.358824999996
799,SENORES,2026-06-24,2026-06-25,1330.9,1289.9,1289.9,1.0,1285.0,230,-10812.81,3.448794049139692,False,False,-3.565219024720112,close_stop,tis,recorded initial stop,2026-06-24,1283.89,0.056980977179992065,375,499087.50000000006,1247.7187500000002,-19041.281249999978
800,GALAPREC,2026-07-02,2026-07-29,1173.41,1098.0,1098.0,1.0,1085.4,115,-10118.7,7.500362192243115,False,False,-6.894435874928639,close_stop,sideways,recorded initial stop,2026-07-29,1085.42,0.5003938275939569,426,499872.66000000003,1249.6816500000002,-35713.08165000004
809,AEQUS,2026-07-03,2026-07-17,238.7,234.88,234.88,1.0,220.8,558,-10242.51,7.498952660242974,False,False,-2.0923334729786247,close_stop,sideways,recorded initial stop,2026-07-24,220.34,0.3864590421951908,2094,499837.8,1249.5945,-11707.868099999967
801,WELCORP,2026-07-07,2026-09-22,1545.48,2731.5,2731.5,1.0,1526.18,64,-286.72,1.2488029608924034,False,False,75.85750058234335,open@end,orb,recorded initial stop,2026-07-07,1541.0,0.4245869843364872,323,499190.04,1247.9750999999999,377425.1124000001
802,AMAGI,2026-07-08,2026-08-17,556.7,608.7,608.7,1.0,514.9,240,15147.44,7.508532423208203,False,False,8.794054248248617,close_stop,sideways,recorded initial stop,2026-08-14,619.81,0.4584753020925737,898,499916.60000000003,1249.7915,42713.145500000006
813,INDSWFTLAB,2026-07-20,2026-07-24,238.0,225.02,225.02,1.0,227.0,909,-10867.32,4.621848739495793,False,False,-5.926512605042012,close_stop,tis,recorded initial stop,2026-07-23,226.04,0.5556206152939124,2100,499800.0,1249.5,-30870.209999999985
817,CUPID,2026-07-24,2026-09-18,213.84,260.2145,260.2145,1.0,204.84,1111,20155.99,4.208754208754206,False,False,21.078108632622516,disaster,tis,recorded initial stop,2026-07-28,231.99,0.810032925803008,2338,499957.92,1249.8948,104131.77869500003
819,RRKABEL,2026-07-27,2026-09-03,2549.99,2650.0,2650.0,1.0,2422.99,78,13938.6,4.980411687888974,False,False,3.40236628378936,close_stop,vcp,recorded initial stop,2026-09-02,2728.69,0.45990417752793833,196,499798.04,1249.4950999999999,15755.464900000043
818,RPTECH,2026-07-27,2026-08-25,806.96,786.676,786.676,1.0,766.96,247,-10979.15,4.956875185882814,False,False,-3.001063249727376,disaster,vcp,recorded initial stop,2026-07-29,762.51,0.5721881299328399,619,499508.24000000005,1248.7706,-16239.32882000003
823,NAVINFLUOR,2026-07-27,2026-07-29,7739.36,7598.0,7598.0,1.0,7515.36,25,-6028.0,2.8942961691922897,False,False,-2.3173750801099735,close_stop,tis,recorded initial stop,2026-07-28,7498.24,0.9317392270197058,64,495319.04,1238.2975999999999,-12716.697599999965
825,LAURUSLABS,2026-07-28,2026-09-22,1745.9,2006.5,2006.5,1.0,1695.3,114,14193.0,2.8982186837734236,False,False,14.3517669969643,open@end,tis,recorded initial stop,2026-09-16,1870.4,0.40265669832322637,286,499327.4,1248.3185,70413.98649999997
828,VADILALIND,2026-07-28,2026-09-11,6865.19,7125.0,7125.0,1.0,6652.19,29,12613.26,3.1026089591111083,False,False,3.2655323450625717,close_stop,tis,recorded initial stop,2026-07-29,7300.13,0.922566033623053,72,494293.68,1235.7342,14905.585800000028
824,KTKBANK,2026-07-30,2026-09-16,287.81,314.6,314.6,1.0,278.91,696,26580.24,3.09231784858065,False,False,8.761683054793101,close_stop,tis,recorded initial stop,2026-09-15,326.0,0.7460912927535968,1737,499925.97000000003,1249.8149250000001,42552.11407500007
814,AETHER,2026-07-30,2026-09-16,1513.18,1588.0,1588.0,1.0,1483.68,338,16652.5,1.9495367372024508,False,False,4.41983108420676,close_stop,tis,recorded initial stop,2026-08-06,1562.45,0.9854390842806606,330,499349.4,1248.3735000000001,20822.02649999996
829,ATHERENERG,2026-08-03,2026-09-22,1277.0,1543.8,1543.8,1.0,1232.0,244,64178.5,3.5238841033672696,False,False,20.288253719655437,open@end,tis,recorded initial stop,2026-09-16,1550.1,0.8700050063445407,391,499307.0,1248.2675,100052.40349999996
838,AVALON,2026-08-07,2026-09-16,1831.75,2041.493,2041.493,1.0,1734.75,206,33928.2,5.295482462126378,False,False,10.893164187252635,disaster,tis,recorded initial stop,2026-09-15,2161.15,0.5658337166444215,272,498236.0,1245.59,53028.07552
846,MOMENTUM50,2026-08-18,2026-09-16,54.56,52.63,52.63,1.0,52.91,9165,-15030.6,3.0241935483871107,False,False,-4.0197030791788935,close_stop,etf_tis,recorded initial stop,2026-09-15,52.92,0.7758271233245351,9164,499987.84,1249.9696000000001,-21347.996200000027
847,PHARMABEES,2026-08-26,2026-09-22,27.46,27.68,27.68,1.0,26.7,18208,-10196.48,2.76766205389658,False,False,0.29715950473414576,open@end,etf_tis,recorded initial stop,2026-09-16,26.9,0.5200708733173369,18208,499991.68,1249.9792,235.79359999996564
844,NIFTYBEES,2026-09-07,2026-09-11,273.45,268.6,268.6,1.0,265.43,1302,-10416.0,2.9328944962515924,False,False,-2.2647650393124774,close_stop,etf_tis,recorded initial stop,2026-09-15,265.45,0.43525481207017946,1828,499866.6,1249.6665,-12570.47049999997
